20 percentile households with highest income;Income;0,18;Percentage;2022
20 percentile persons with highest income;Income;0,3;Percentage;2022
40 percentile households with lowest income;Income;0,5;Percentage;2022
40 percentile persons with lowest income;Income;0,36;Percentage;2022
Active persons 15-75 years;Income;0,41;Percentage;2022
Address density;Regional;7,174;Average distance in km;2024
Addresses outside built-up area;Regional;0;Number;2024
Addresses total;Regional;7,696;Number;2024
Addresses with building;Regional;7,416;Number;2024
Addresses with cell function;Regional;0;Number;2024
Addresses with educational function;Regional;10;Number;2024
Addresses with healthcare function;Regional;7;Number;2024
Addresses with industrial function;Regional;179;Number;2024
Addresses with lodging function;Regional;28;Number;2024
Addresses with meeting function;Regional;160;Number;2024
Addresses with office function;Regional;332;Number;2024
Addresses with other usage function;Regional;157;Number;2024
Addresses with parcel;Regional;7,696;Number;2024
Addresses with postal code;Regional;7,68;Number;2024
Addresses with residential function;Regional;6,484;Number;2024
Addresses with residential function outside built-up area;Regional;0;Number;2024
Addresses with residential function within built-up area;Regional;6,484;Number;2024
Addresses with retail function;Regional;199;Number;2024
Addresses with sports function;Regional;9;Number;2024
Addresses within built-up area;Regional;7,696;Number;2024
After-school care distance;Proximity;0.50;Average in Euro;2023
After-school care within 1 km;Proximity;3;Average number;2023
After-school care within 3 km;Proximity;36;Average number;2023
After-school care within 5 km;Proximity;140;Average number;2023
Ages 0 - 15;Population;680;Number;2024
Ages 15 - 25;Population;1,335;Number;2024
Ages 25 - 45;Population;3,475;Number;2024
Ages 45 - 65;Population;2,5;Number;2024
Ages 65 and up;Population;2,03;Number;2024
Allotment garden distance;Proximity;3.20;Average in Euro;2017
Apartment dwelling type;Houses;6,212;Number;2024
Artificial ice rink distance;Proximity;4.90;Average in Euro;2022
Attraction distance;Proximity;1.40;Average in Euro;2022
Attractions within 10 km;Proximity;8;Average number;2022
Attractions within 20 km;Proximity;16;Average number;2022
Attractions within 50 km;Proximity;67;Average number;2022
Average electricity usage apartment;Energy consumption;1,88;Average number per km²;2022
Average electricity usage corner homes;Energy consumption;2,53;Average number per km²;2022
Average electricity usage detached homes;Energy consumption;3,54;Average number per km²;2015
Average electricity usage owner-occupied homes;Energy consumption;2,33;Average number per km²;2022
Average electricity usage rental homes;Energy consumption;1,72;Average number per km²;2022
Average electricity usage semi-detached homes;Energy consumption;4,16;Average number per km²;2015
Average electricity usage terraced homes;Energy consumption;2,87;Average number per km²;2022
Average electricity usage total;Energy consumption;1,91;Average number per km²;2022
Average house value;Houses;589;Average number;2023
Average household size;Households;1.50;Average number;2024
Average income per income recipient;Income;50,3;Average number;2022
Average income per inhabitant;Income;44,8;Average number;2022
Average natural gas usage apartment;Energy consumption;740;Average in kWh;2022
Average natural gas usage corner homes;Energy consumption;1,13;Average in kWh;2022
Average natural gas usage detached homes;Energy consumption;2,31;Average in kWh;2015
Average natural gas usage owner-occupied homes;Energy consumption;820;Average in kWh;2022
Average natural gas usage rental homes;Energy consumption;740;Average in kWh;2022
Average natural gas usage semi-detached homes;Energy consumption;2,21;Average in kWh;2015
Average natural gas usage terraced homes;Energy consumption;1,37;Average in kWh;2022
Average natural gas usage total;Energy consumption;760;Average in kWh;2022
Berth locations;Regional;189;Number;2024
Births relative;Population;6;Number per 1000 inhabitants;2023
Births total;Population;60;Number;2023
Born in Netherlands;Migration;5,09;Number;2024
Born in Netherlands origin Europe;Migration;545;Number;2024
