Government, education, care;Business;325;Number;2023
Businesses transport, information, communication;Business;245;Number;2023
Businesses trade and catering;Business;230;Number;2023
Businesses total;Business;2,32;Number;2023
Businesses industry and energy;Business;60;Number;2023
Businesses financial services, real estate;Business;225;Number;2023
Businesses culture, recreation, other services;Business;410;Number;2023
Businesses business services;Business;820;Number;2023
Businesses agriculture, forestry, fishing;Business;0;Number;2023
Crime violence and sexual abuse;Crime;49;Number;2023
Crime traffic;Crime;70;Number;2023
Crime total;Crime;873;Number;2023
Crime theft;Crime;616;Number;2023
Crime scam;Crime;62;Number;2023
Crime other;Crime;32;Number;2023
Crime environmental;Crime;1;Number;2023
Crime destruction;Crime;43;Number;2023
Undetermined energy label;Energy consumption;495;Number;2024
Provisional energy label;Energy consumption;1,647;Number;2024
Percentage homes with district heating;Energy consumption;0;Percentage;2013
Final energy labels;Energy consumption;3,247;Number;2024
Energy label G;Energy consumption;1,429;Number;2024
Energy label F;Energy consumption;215;Number;2024
Energy label E;Energy consumption;307;Number;2024
Energy label D;Energy consumption;364;Number;2024
Energy label C;Energy consumption;905;Number;2024
Energy label B;Energy consumption;740;Number;2024
Energy label A+++++;Energy consumption;0;Number;2024
Energy label A++++;Energy consumption;1;Number;2024
Energy label A+++;Energy consumption;253;Number;2024
Energy label A++;Energy consumption;83;Number;2024
Energy label A+;Energy consumption;50;Number;2024
Energy label A;Energy consumption;547;Number;2024
Average natural gas usage total;Energy consumption;850;Average in kWh;2022
Average natural gas usage terraced homes;Energy consumption;1,62;Average in kWh;2022
Average natural gas usage semi-detached homes;Energy consumption;2,21;Average in kWh;2015
Average natural gas usage rental homes;Energy consumption;770;Average in kWh;2022
Average natural gas usage owner-occupied homes;Energy consumption;990;Average in kWh;2022
Average natural gas usage detached homes;Energy consumption;1,81;Average in kWh;2022
Average natural gas usage corner homes;Energy consumption;1,74;Average in kWh;2022
Average natural gas usage apartment;Energy consumption;830;Average in kWh;2022
Average electricity usage total;Energy consumption;1,99;Average number per km²;2022
Average electricity usage terraced homes;Energy consumption;3,86;Average number per km²;2022
Average electricity usage semi-detached homes;Energy consumption;4,16;Average number per km²;2015
Average electricity usage rental homes;Energy consumption;1,76;Average number per km²;2022
Average electricity usage owner-occupied homes;Energy consumption;2,4;Average number per km²;2022
Average electricity usage detached homes;Energy consumption;4,37;Average number per km²;2022
Average electricity usage corner homes;Energy consumption;3,29;Average number per km²;2022
Average electricity usage apartment;Energy consumption;1,95;Average number per km²;2022
Single-person households;Households;3,17;Number;2024
Households without children;Households;1,27;Number;2024
Households with children;Households;625;Number;2024
Households total;Households;5,06;Number;2024
Average household size;Households;1.50;Average number;2024
Unknown dwelling type;Houses;0;Number;2024
Terraced or linked dwelling type;Houses;90;Number;2024
Semi-detached dwelling type;Houses;4;Number;2024
Percentage uninhabited;Houses;0,12;Percentage;2023
Percentage single-family houses;Houses;0,02;Percentage;2023
Percentage rented homes;Houses;0,67;Percentage;2023
Percentage rental-housing by corporation;Houses;0,27;Percentage;2023
Percentage privately owned homes;Houses;0,32;Percentage;2023
Percentage multi-family houses;Houses;0,98;Percentage;2023
Percentage inhabited;Houses;0,88;Percentage;2023
Percentage homes other rental;Houses;0,4;Percentage;2023
Percentage homes built since 2000;Houses;0,05;Percentage;2023
Percentage homes built before 2000;Houses;0,95;Percentage;2023
Ownership unknown;Houses;0;Percentage;2023
Not applicable dwelling type;Houses;517;Number;2024
Housing stock;Houses;4,66;Number;2023
Different dwelling type;Houses;0;Number;2024
Detached dwelling type;Houses;10;Number;2024
Corner dwelling type;Houses;17;Number;2024
Average house value;Houses;656;Average number;2023
Apartment dwelling type;Houses;4,659;Number;2024
Persons with social security welfare;Income;130;Number;2023
Persons with social security for unemployed;Income;90;Number;2023
Persons with social security for incapacity for work;Income;170;Number;2023
Persons with social security for elderly;Income;1,28;Number;2023
Percentage self-employed;Income;0,27;Percentage;2022
Percentage households with a low income;Income;5.5%;Percentage;2022
Percentage households at social minimum;Income;0,09;Percentage;2022
Percentage employees;Income;0,73;Percentage;2022
Number of income receivers;Income;6;Number;2022
Net labor participation;Income;0,65;Percentage;2022
Median capital assets of private households;Income;37;x 1,000 Euro;2022
Households up to 120% of the social minimum;Income;0,14;Percentage;2022
Households up to 110% of the social minimum;Income;0,12;Percentage;2022
Average income per inhabitant;Income;47,9;Average number;2022
Average income per income recipient;Income;54,2;Average number;2022
Active persons 15-75 years;Income;0,46;Percentage;2022
40 percentile persons with lowest income;Income;0,35;Percentage;2022
40 percentile households with lowest income;Income;0,47;Percentage;2022
20 percentile persons with highest income;Income;0,33;Percentage;2022
20 percentile households with highest income;Income;0,22;Percentage;2022
Western total;Migration;2,12;Number;2022
Turkey;Migration;80;Number;2022
Suriname;Migration;185;Number;2022
Other non-western;Migration;730;Number;2022
Origin outside Netherlands;Migration;3,835;Number;2024
Origin outside Europe;Migration;1,99;Number;2024
Origin Netherlands;Migration;4,19;Number;2024
Origin Europe;Migration;1,845;Number;2024
Non-western total;Migration;1,12;Number;2022
Native Dutch;Migration;4,07;Number;2022
Morocco;Migration;65;Number;2022
Dutch Antilles and Aruba;Migration;60;Number;2022
Born outside Netherlands origin outside Europe;Migration;1,305;Number;2024
Born outside Netherlands origin Europe;Migration;1,435;Number;2024
Born in Netherlands origin outside Europe;Migration;685;Number;2024
Born in Netherlands origin Europe;Migration;405;Number;2024
Born in Netherlands;Migration;4,19;Number;2024
Young people with youth care in kind;Population;70;Number;2022
Women;Population;4,025;Number;2024
WMO clients relative;Population;70;Number per 1000 inhabitants;2022
WMO clients;Population;515;Number;2022
Widowed;Population;225;Number;2024
Percentage young people with youth care;Population;4.90%;Percentage;2022
Not married;Population;5,545;Number;2024
Mortality total;Population;100;Number;2023
Mortality relative;Population;13;Number per 1000 inhabitants;2023
Men;Population;4;Number;2024
Married;Population;1,72;Number;2024
Inhabitants;Population;8,02;Number;2024
Education level medium;Population;1,49;Number;2022
Education level low;Population;670;Number;2022
Education level high;Population;4,44;Number;2022
Divorced;Population;530;Number;2024
Births total;Population;70;Number;2023
Births relative;Population;9;Number per 1000 inhabitants;2023
Ages 65 and up;Population;1,46;Number;2024
Ages 45 - 65;Population;1,72;Number;2024
Ages 25 - 45;Population;3;Number;2024
